name,category,subcategory,paragraph
Dog Component,A,Dog,"Aenean id posuere urna. Phasellus vehicula est ex, elementum consequat dui ornare non. Suspendisse libero risus, vulputate vitae ultricies nec, placerat ac tortor. Donec tincidunt ornare metus. Nunc nunc dolor, egestas in odio in, mattis facilisis est. Sed ac ligula eget orci consectetur interdum. Fusce elit metus, consequat ut tortor sit amet, porttitor feugiat nisl. Donec tempus maximus purus et ultricies. Nunc pretium elit non felis placerat placerat. Suspendisse cursus diam nulla, eu pellentesque ipsum viverra at. Nulla sit amet maximus lorem."
Gardening Instrument,A,Gardening,"In hac habitasse platea dictumst. Donec a tincidunt dolor. Vestibulum sed felis et dui dignissim blandit. Integer ligula leo, blandit ut lorem tempus, eleifend convallis odio. Nam a eleifend tortor. Etiam tincidunt vestibulum feugiat. Quisque vel felis libero. Quisque sed nisi velit. Vestibulum venenatis pellentesque augue in dictum."
Kids Apparatus,A,Kids,"Proin ut ex nec magna blandit maximus ac in magna. Sed lacinia maximus lacinia. Sed sollicitudin, sem non efficitur dictum, dui sapien sagittis neque, a rutrum turpis est eget neque. Suspendisse quis lorem a tellus volutpat tincidunt. In cursus lacus quis sem euismod, eu ultrices diam aliquam. Vivamus tellus mi, ullamcorper et volutpat sed, consequat quis ipsum. Pellentesque bibendum et dui non efficitur. Sed a feugiat erat, id iaculis leo."
Technology Contraption,A,Technology,"Suspendisse ac nibh lacinia, maximus magna id, auctor erat. Proin auctor ultrices erat, id blandit arcu maximus vitae. Phasellus eu urna sapien. Vestibulum ornare arcu est. Integer viverra venenatis mauris, a pharetra dolor accumsan a. Nunc porta egestas arcu. Nunc quis odio id augue scelerisque finibus. Donec ultrices in felis in tincidunt. Integer pharetra massa at aliquet vestibulum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam aliquet justo eu tortor vehicula tincidunt. Vestibulum commodo, purus sit amet sollicitudin tincidunt, eros nibh lobortis massa, at blandit lectus turpis quis nulla. Proin accumsan tortor euismod tincidunt fringilla. Nunc a augue ante. Proin posuere dolor non turpis mattis varius. Suspendisse porttitor ornare rhoncus."
Engine Doodad,A,Engine,"Proin sodales sem vel leo facilisis euismod. Maecenas mollis metus metus, ut molestie orci interdum ac. Maecenas pharetra lorem quis erat dapibus pretium. In ullamcorper augue massa, tincidunt interdum mauris pulvinar non. Donec at diam in metus tincidunt tincidunt. Praesent mollis a lacus ornare fringilla. Nullam iaculis sed tellus fringilla pellentesque. Etiam at dolor eget dolor eleifend finibus quis sodales metus. Aliquam eleifend sed felis id pharetra. Integer ultrices odio in aliquet gravida. Morbi interdum placerat tortor et porttitor. In hac habitasse platea dictumst. Maecenas dignissim lobortis mi, in interdum ipsum varius eget. Curabitur quis risus a tortor sollicitudin fringilla id ac nibh."
Tire Instrument,A,Tire,"Proin in neque vel lorem tincidunt laoreet eget faucibus est. Aenean scelerisque lectus vel tellus tempor vestibulum. Etiam gravida purus porta arcu luctus pharetra. Curabitur nec nibh metus. Sed eu nisl gravida, maximus nulla nec, bibendum ligula. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Ut consequat dolor vel lorem eleifend pulvinar. Vestibulum tempor dictum felis non condimentum. Suspendisse nec risus non felis sollicitudin consectetur. Sed at lorem vitae turpis faucibus sollicitudin. Integer diam nunc, euismod ac ornare sed, cursus et ante. Donec lobortis lorem eget est sodales gravida. Aenean tempor elit et venenatis imperdiet. Donec ornare tempus mauris et facilisis."
Technology Gizmo,A,Technology,"Sed ut eros quam. Aenean imperdiet nulla ante, vel tempor dolor consectetur quis. Sed sed justo odio. Proin et cursus mauris. Integer quis neque et lacus imperdiet mattis eget ac lacus. Nunc faucibus nec diam mattis semper. Pellentesque dictum neque purus, non cursus enim venenatis vitae. Maecenas sed venenatis purus, quis viverra turpis. In hac habitasse platea dictumst. Nam sit amet ornare sapien, eleifend fermentum augue."
Bedding Gear,A,Bedding,"Proin sodales sem vel leo facilisis euismod. Maecenas mollis metus metus, ut molestie orci interdum ac. Maecenas pharetra lorem quis erat dapibus pretium. In ullamcorper augue massa, tincidunt interdum mauris pulvinar non. Donec at diam in metus tincidunt tincidunt. Praesent mollis a lacus ornare fringilla. Nullam iaculis sed tellus fringilla pellentesque. Etiam at dolor eget dolor eleifend finibus quis sodales metus. Aliquam eleifend sed felis id pharetra. Integer ultrices odio in aliquet gravida. Morbi interdum placerat tortor et porttitor. In hac habitasse platea dictumst. Maecenas dignissim lobortis mi, in interdum ipsum varius eget. Curabitur quis risus a tortor sollicitudin fringilla id ac nibh."
Book Kit,A,Book,"Pellentesque fermentum facilisis hendrerit. Vivamus venenatis dapibus sem, sit amet placerat tortor blandit eget. Nullam id augue vitae nulla interdum pharetra ut et turpis. Etiam nisl mauris, feugiat malesuada mi sed, vestibulum commodo lectus. Donec convallis ac tortor vitae tincidunt. Praesent ut ligula elit. Morbi eget mi ex. Curabitur quis dignissim eros. Suspendisse id massa at velit maximus ultrices. Suspendisse euismod rhoncus sapien, sit amet pretium arcu mollis a. Cras commodo lacus erat, gravida congue ipsum condimentum nec. In lacinia nunc sagittis mauris ullamcorper interdum. Pellentesque ac risus consequat orci congue malesuada in nec mi. Donec eleifend id nunc quis semper. Sed consequat metus non accumsan rutrum."
Camera Implement,A,Camera,"Nam lorem arcu, pretium quis lectus et, volutpat euismod enim. Suspendisse semper tortor sapien, eu cursus nisi fermentum non. Cras quam orci, tincidunt quis purus vel, molestie posuere urna. Etiam lobortis neque eget ex tempus, eu interdum mi semper. Cras felis enim, rutrum a imperdiet et, vehicula at metus. Praesent bibendum, augue eu aliquam gravida, lectus sapien fringilla ipsum, non tincidunt leo felis eu augue. Aliquam faucibus tortor enim, in convallis elit euismod quis."
Storage Device,A,Storage,"Proin ut ex nec magna blandit maximus ac in magna. Sed lacinia maximus lacinia. Sed sollicitudin, sem non efficitur dictum, dui sapien sagittis neque, a rutrum turpis est eget neque. Suspendisse quis lorem a tellus volutpat tincidunt. In cursus lacus quis sem euismod, eu ultrices diam aliquam. Vivamus tellus mi, ullamcorper et volutpat sed, consequat quis ipsum. Pellentesque bibendum et dui non efficitur. Sed a feugiat erat, id iaculis leo."
First Aid Accessory,A,First Aid,"Praesent nec commodo mauris, ut cursus odio. Donec venenatis tincidunt eros nec volutpat. Nulla convallis egestas finibus. Proin tellus nunc, cursus quis massa a, congue dictum massa. Phasellus tincidunt tristique placerat. Proin imperdiet feugiat consectetur. Nullam rhoncus ullamcorper libero quis viverra."
Baby Equipment,A,Baby,"Fusce interdum, ipsum in hendrerit convallis, orci sem ornare ante, nec tincidunt urna augue ac metus. Maecenas pharetra id dui eu semper. Suspendisse sodales tempor odio, quis luctus massa gravida ac. Integer aliquet faucibus pulvinar. Etiam dui nunc, sodales ultrices laoreet vel, varius vel purus. Phasellus suscipit, urna sed mollis rhoncus, lectus ipsum tempus nisl, et gravida ipsum purus quis nisi. Sed leo arcu, venenatis quis blandit eu, hendrerit ut arcu. Praesent nec consectetur ligula. Curabitur sodales mauris non mi auctor, eu feugiat massa vulputate."
Womens Whatchamacallit,A,Womens,"Proin finibus risus ut dui vulputate malesuada. Maecenas aliquet egestas aliquet. Morbi dignissim ipsum orci, sit amet malesuada tortor venenatis tempor. Pellentesque molestie elementum nisl, at finibus nisi rutrum quis. Nam in est id purus laoreet tincidunt nec nec justo. Suspendisse porta, orci nec varius convallis, orci erat pellentesque libero, dictum venenatis tortor nunc eget neque. Fusce quis vulputate ante, non iaculis mauris. Phasellus sed est eros. Suspendisse sem justo, iaculis ut urna suscipit, cursus gravida libero. Donec vehicula porttitor nibh et posuere. Phasellus tempus justo a lectus vulputate, auctor accumsan libero interdum."
Vitamin Mechanism,A,Vitamin,"Sed sagittis, metus eu fermentum ultrices, nibh risus malesuada felis, eu interdum ipsum felis nec nulla. Nam a imperdiet augue. Nam vestibulum lacus neque, quis maximus ipsum maximus at. Aliquam id tortor eu nulla bibendum pellentesque. Morbi eleifend libero vel augue gravida, nec maximus libero tincidunt. Morbi dui metus, dignissim pretium ultrices non, tincidunt sed enim. Nunc tristique elit fringilla arcu condimentum euismod. Nunc eget lacus nulla."
Storage Item,A,Storage,"Nunc pharetra, tortor eu placerat sagittis, ligula eros gravida neque, luctus interdum purus ipsum et diam. Phasellus quis leo vitae sem commodo tempus a at odio. Nam venenatis metus nibh, malesuada vestibulum purus consectetur eu. Morbi at tincidunt leo, eu rutrum lorem. Pellentesque quis mollis tortor. Interdum et malesuada fames ac ante ipsum primis in faucibus. Phasellus sed erat ac lorem facilisis fermentum. Cras venenatis diam in mi sodales commodo. Integer vitae ipsum sed erat tincidunt euismod in a odio. Donec lacus sapien, mollis nec consequat at, sodales sit amet orci. Donec fermentum neque orci, ac lobortis metus suscipit non. Phasellus vehicula mauris vitae ante rhoncus, et volutpat sapien faucibus. Mauris auctor libero eu hendrerit consectetur. Pellentesque elementum, velit id iaculis fermentum, felis velit molestie neque, at pharetra leo risus vitae mi. In tempor tortor sit amet leo sollicitudin, ultrices commodo turpis posuere. Donec molestie fermentum velit, in blandit lectus pharetra vitae."
Toy Machine,A,Toy,"Praesent nec euismod ex. Cras pharetra auctor imperdiet. Maecenas nisi ipsum, tristique eu metus eu, tincidunt accumsan nibh. Aenean et purus faucibus, fermentum risus eget, posuere diam. Fusce eget orci non sapien gravida sagittis. Curabitur placerat condimentum tortor. Duis cursus feugiat sem, quis convallis mi lobortis vitae. Praesent in dui mi. Ut egestas consectetur massa, vitae vulputate diam feugiat vitae. Nam tincidunt dui massa, et lacinia arcu cursus a. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Mauris eu malesuada elit. Praesent accumsan venenatis leo eget tempor. Quisque luctus consequat faucibus."
Toy Gear,A,Toy,"Integer tempor metus convallis lorem dignissim, vel porttitor mauris varius. Vestibulum sagittis dolor nec sodales rutrum. Interdum et malesuada fames ac ante ipsum primis in faucibus. Etiam quis tortor vel ex egestas varius a et metus. Sed ultrices urna turpis, et tempus dolor dignissim et. Integer placerat quis nulla ac vestibulum. Sed at faucibus libero. Aenean hendrerit lorem euismod turpis consectetur cursus. Mauris venenatis odio sit amet enim imperdiet pulvinar. Phasellus dignissim risus vitae tellus elementum convallis. Pellentesque elementum est lectus, vel feugiat urna malesuada sit amet. Proin quis enim ac ipsum fermentum iaculis sed vel sapien. Maecenas quis libero eget nisl faucibus laoreet."
Sports Widget,A,Sports,"In hac habitasse platea dictumst. Donec a tincidunt dolor. Vestibulum sed felis et dui dignissim blandit. Integer ligula leo, blandit ut lorem tempus, eleifend convallis odio. Nam a eleifend tortor. Etiam tincidunt vestibulum feugiat. Quisque vel felis libero. Quisque sed nisi velit. Vestibulum venenatis pellentesque augue in dictum."
Car Doodad,A,Car,"Pellentesque fermentum facilisis hendrerit. Vivamus venenatis dapibus sem, sit amet placerat tortor blandit eget. Nullam id augue vitae nulla interdum pharetra ut et turpis. Etiam nisl mauris, feugiat malesuada mi sed, vestibulum commodo lectus. Donec convallis ac tortor vitae tincidunt. Praesent ut ligula elit. Morbi eget mi ex. Curabitur quis dignissim eros. Suspendisse id massa at velit maximus ultrices. Suspendisse euismod rhoncus sapien, sit amet pretium arcu mollis a. Cras commodo lacus erat, gravida congue ipsum condimentum nec. In lacinia nunc sagittis mauris ullamcorper interdum. Pellentesque ac risus consequat orci congue malesuada in nec mi. Donec eleifend id nunc quis semper. Sed consequat metus non accumsan rutrum."
Car Doodad,A,Car,"Nunc vitae luctus nibh. Nam accumsan, risus sit amet finibus tristique, nibh libero efficitur dolor, vel lobortis tortor ligula sed nunc. Sed mattis eu orci et fringilla. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam suscipit felis nunc, in pharetra nibh consectetur in. Quisque mattis tortor quis mattis tempus. Proin vestibulum porttitor luctus. Cras ligula nulla, dignissim at ultrices quis, dapibus at ante. Donec porta ex libero, id fringilla ipsum ornare in. Curabitur ex nibh, ullamcorper ut sollicitudin eget, lacinia eget dolor."
Toy Kit,A,Toy,"Cras suscipit erat sapien, id elementum erat porta eget. Donec sagittis auctor nisi, id bibendum neque ultrices eget. Suspendisse potenti. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Curabitur vitae nibh enim. Ut mollis ligula quis nisi venenatis, eget venenatis tellus ultricies. Fusce nec diam aliquet, faucibus erat in, accumsan arcu. Phasellus nec nulla eget leo pharetra aliquet ut id eros. Proin interdum, nibh tincidunt varius facilisis, libero ante maximus urna, nec pulvinar tortor elit in diam. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam quis sem placerat, dictum massa sit amet, rhoncus dolor. Etiam massa massa, blandit non vehicula sit amet, tincidunt sed lectus. Fusce pellentesque id eros eu pellentesque. Morbi eget rhoncus sem."
Medicine Mechanism,A,Medicine,"Nullam aliquam quam ut velit congue, at vestibulum lacus laoreet. Donec blandit eros quis nunc facilisis, eu vestibulum nulla eleifend. Aenean vel mollis eros, ut suscipit urna. Mauris venenatis dolor vel magna rhoncus molestie. Ut volutpat gravida est suscipit tincidunt. Nam a massa suscipit, tempor lorem sed, maximus elit. Pellentesque sit amet blandit justo. Curabitur pretium sem vitae lorem vulputate, ac tristique libero finibus. Integer semper sed massa in sodales. Phasellus eget lectus eleifend nulla fermentum iaculis eget sed est. Maecenas mauris nulla, auctor nec mauris ut, suscipit interdum purus. Phasellus malesuada, felis id consectetur mattis, leo sem maximus mauris, vitae tincidunt ipsum lorem ut nisi. Vestibulum semper ut velit ut egestas. Aenean sagittis arcu in justo euismod posuere. Praesent venenatis luctus ante eu consequat."
Technology Rig,A,Technology,"Nam consequat massa in dapibus facilisis. Nunc erat justo, bibendum id iaculis nec, rhoncus nec urna. Donec pellentesque magna sed elementum hendrerit. Mauris semper ante nec egestas porttitor. Sed faucibus, lacus a bibendum vestibulum, erat metus interdum odio, ac condimentum nibh felis at erat. Nullam eget placerat ligula, quis tempus orci. Duis id enim sed lectus pellentesque lobortis in sit amet magna. Curabitur at arcu quis est feugiat mollis. Duis suscipit, odio convallis luctus pulvinar, urna turpis vehicula urna, et pulvinar dolor justo id lacus. Duis lorem nunc, varius nec tristique non, tristique porttitor ligula. Sed sit amet leo posuere, tincidunt augue et, eleifend justo. Quisque in dapibus felis, sit amet cursus nulla. Duis sed sem posuere, malesuada nibh eget, scelerisque sem. Sed bibendum egestas lacinia."
Fitness Apparatus,B,Fitness,"Suspendisse facilisis, magna quis laoreet interdum, ligula elit porta augue, nec malesuada eros sapien eu nisl. In sed lacus ac mi placerat congue. Suspendisse massa orci, iaculis id facilisis tempus, gravida in est. Vestibulum eu lacus eget massa dignissim efficitur vitae malesuada leo. Quisque ultricies massa turpis, quis venenatis justo vehicula vel. Donec eu cursus turpis. Aliquam vel vulputate eros, eget faucibus elit. Phasellus vel egestas orci, vel cursus neque. Suspendisse feugiat sapien orci. Curabitur rhoncus ultricies laoreet. In vitae euismod tortor, sed rutrum lorem. Vivamus at augue scelerisque, bibendum est vel, aliquam ligula. Aliquam sagittis ornare neque, sed fermentum nisi cursus ut. Donec purus arcu, convallis eget eros dapibus, euismod malesuada diam. Vivamus congue, metus in fringilla facilisis, ante orci posuere turpis, nec malesuada massa nisi dignissim mi. Donec sed augue lectus."
Game Component,B,Game,"Cras suscipit erat sapien, id elementum erat porta eget. Donec sagittis auctor nisi, id bibendum neque ultrices eget. Suspendisse potenti. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Curabitur vitae nibh enim. Ut mollis ligula quis nisi venenatis, eget venenatis tellus ultricies. Fusce nec diam aliquet, faucibus erat in, accumsan arcu. Phasellus nec nulla eget leo pharetra aliquet ut id eros. Proin interdum, nibh tincidunt varius facilisis, libero ante maximus urna, nec pulvinar tortor elit in diam. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam quis sem placerat, dictum massa sit amet, rhoncus dolor. Etiam massa massa, blandit non vehicula sit amet, tincidunt sed lectus. Fusce pellentesque id eros eu pellentesque. Morbi eget rhoncus sem."
Party Accessory,B,Party,"Nulla facilisi. Aliquam imperdiet bibendum nisi vitae condimentum. Suspendisse eleifend nibh in enim ornare, id tempus orci dapibus. Proin sed scelerisque neque. Vestibulum blandit mi quis leo euismod faucibus. Vestibulum eget libero eget nibh sodales vehicula vitae ut est. Integer vel commodo massa, eget imperdiet sapien. Mauris auctor elementum nibh, ac vehicula leo pellentesque quis. Cras pulvinar ipsum vulputate, hendrerit quam ut, ullamcorper lectus."
Kitchen Doodad,B,Kitchen,"Nullam aliquam quam ut velit congue, at vestibulum lacus laoreet. Donec blandit eros quis nunc facilisis, eu vestibulum nulla eleifend. Aenean vel mollis eros, ut suscipit urna. Mauris venenatis dolor vel magna rhoncus molestie. Ut volutpat gravida est suscipit tincidunt. Nam a massa suscipit, tempor lorem sed, maximus elit. Pellentesque sit amet blandit justo. Curabitur pretium sem vitae lorem vulputate, ac tristique libero finibus. Integer semper sed massa in sodales. Phasellus eget lectus eleifend nulla fermentum iaculis eget sed est. Maecenas mauris nulla, auctor nec mauris ut, suscipit interdum purus. Phasellus malesuada, felis id consectetur mattis, leo sem maximus mauris, vitae tincidunt ipsum lorem ut nisi. Vestibulum semper ut velit ut egestas. Aenean sagittis arcu in justo euismod posuere. Praesent venenatis luctus ante eu consequat."
Hair Care Gizmo,B,Hair Care,"In hac habitasse platea dictumst. Donec a tincidunt dolor. Vestibulum sed felis et dui dignissim blandit. Integer ligula leo, blandit ut lorem tempus, eleifend convallis odio. Nam a eleifend tortor. Etiam tincidunt vestibulum feugiat. Quisque vel felis libero. Quisque sed nisi velit. Vestibulum venenatis pellentesque augue in dictum."
Home Improvement Tool,B,Home Improvement,"Nullam sollicitudin arcu eu dui facilisis, at tempor turpis scelerisque. Suspendisse faucibus volutpat lacus quis auctor. Praesent scelerisque nisl enim, a sodales elit aliquet ac. Sed viverra, eros quis varius cursus, sapien est aliquet metus, id malesuada orci felis vel risus. Praesent mattis, turpis et blandit sollicitudin, arcu nisl efficitur est, at imperdiet ante magna sit amet metus. Pellentesque faucibus quam fermentum, viverra est a, pellentesque tellus. Morbi sed mauris tellus. Suspendisse potenti. Nullam sit amet augue vitae orci tempus rhoncus."
Cooking Equipment,B,Cooking,"Nam lorem arcu, pretium quis lectus et, volutpat euismod enim. Suspendisse semper tortor sapien, eu cursus nisi fermentum non. Cras quam orci, tincidunt quis purus vel, molestie posuere urna. Etiam lobortis neque eget ex tempus, eu interdum mi semper. Cras felis enim, rutrum a imperdiet et, vehicula at metus. Praesent bibendum, augue eu aliquam gravida, lectus sapien fringilla ipsum, non tincidunt leo felis eu augue. Aliquam faucibus tortor enim, in convallis elit euismod quis."
Music Gear,B,Music,"Morbi nulla massa, accumsan ut congue tempus, aliquam sit amet libero. Mauris euismod, est nec consectetur blandit, diam nisi lobortis enim, vitae suscipit libero erat hendrerit sapien. Nam vel sapien ipsum. Quisque sagittis lectus lacinia orci aliquet sollicitudin. Integer convallis turpis vitae condimentum tincidunt. Phasellus quis erat at sem dignissim tempor eu quis purus. Sed viverra ullamcorper volutpat."
Skin Care Gear,B,Skin Care,"Pellentesque iaculis turpis felis, eu vestibulum tellus molestie ut. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Phasellus molestie, nisi sit amet blandit gravida, felis libero ultrices risus, vel tincidunt nulla dolor sed ipsum. Integer est tortor, laoreet vitae neque eget, maximus bibendum lacus. Quisque odio ante, faucibus id sem a, vehicula elementum magna. Donec egestas id ligula eu euismod. Nullam aliquam justo a arcu malesuada, sed pulvinar mauris luctus. Nunc egestas elementum laoreet. Sed accumsan pretium interdum. Praesent maximus cursus imperdiet. Vestibulum libero purus, finibus eu maximus a, fermentum eget ex."
Hair Care Machine,B,Hair Care,"Duis sodales dignissim leo vitae convallis. Praesent rhoncus pulvinar lectus quis suscipit. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nunc ut elementum neque. Cras est ipsum, molestie vel vulputate vulputate, iaculis ac tellus. Nulla consectetur non ante et auctor. Etiam sodales lectus vel lectus scelerisque pretium ut sed felis. Maecenas congue felis vitae sapien dignissim rutrum. Proin in mi ex."
